difficulty, phrase,translation
easy, "Que saudade!", "The word saudade (sah-ooh-dah-jee) has no direct translation in English, and it's a major source of linguistic pride for Brazilians. Use Que saudade! (kee sah-ooh-dah-jee) when you miss something so desperately, you have a heartache over it. People say Que saudade! when they remember their best friend who's now living far away, or their childhood beach. Brazilians also often say simply Saudades! at the end of e-mails to tell you they're missing you terribly."
easy, "Fala sério!", "Say Fala sério (fah-lah seh-dee-oh) to mean You're kidding! or You're joking! or No way! Brazilians also say Não acredito! (nah-ooh ah-kdeh-jee-toh; I can't believe it!) in the same situations. But Fala sério has a funnier tone to it. It literally means Talk seriously."
easy, "Pra caramba!", "Here's a great way to emphasize how off-the-charts something is. Pra caramba (pdah kah-dahm-bah) is most often used at the end of a sentence to exaggerate something. Use this phrase instead of putting muito (moh-ee-toh; very) or bem (bang; very) in front of these same words. Take the classic phrase É boa pra caramba (eh boh-ah pdah kah-dahm-bah). Boa by itself means good. When pra caramba comes after good, it transforms It's good to It's amazing."
easy, "Lindo maravilhoso!","Lindo maravilhoso! (leen-doh mah-dah-veel-yoh-zoo) is a Brazilian saying that literally translates to Beautiful, marvelous! Brazilians like to gush about beauty and how amazing things are."
easy, "É mesmo?", "É mesmo? (eh mehz-moh) means Really? It's usually used to react to some interesting new fact."
easy, "Um beijo! or Um abraço!", "Brazilians are very affectionate people. They often end a conversation with a friend or acquaintance they feel friendly toward by saying Um beijo! (oong bay-zhoh; a kiss) or Um abraço! (oong ah-bdah-soh; a hug). In general, women use Um beijo! to male and female friends, and men use Um beijo! to women and Um abraço! to male friends. These expressions are also common ways to end an e-mail."
easy, "Imagina!", "Brazilians are also very hospitable. After telling you thank you — obrigado (oh-bdee-gah-doh) if you're male and obrigada (oh-bdee-gah-dah) if you're female — a Brazilian often says Imagina! (mah-zhee-nah; Literally: Imagine!) to mean It's no trouble at all! The initial i is chopped off in spoken language. It sounds like Magina!"
"Pois não?","Here's a common phrase you may hear when you enter a shop or call a service-oriented company over the phone, like a restaurant. Pois não? (poh-eez nah-ooh) means Can I help you? It's a funny phrase, because it literally means "Because no?" It's pretty nonsensical, and Brazilians have a hard time saying where the phrase originated."
"Com certeza!", "This is another fun, common phrase. Com certeza! (koh-oong seh-teh-zah; Literally: With certainty!) translates to Of course! or Definitely!"
"Fique tranquilo", "If Brazilians value any single trait, it's optimism; it's being able to solve problems. And if the problem can't be fixed, just relax and forget about it. At the first signs of someone's stress, a Brazilian often says Fique tranquilo (fee-kee kdang-kwee-loh; Don't worry). It has a very calming effect.""
